,home_team,away_team,xG
0,Crystal Palace,Arsenal,0.964134
1,Crystal Palace,Aston Villa,1.23807
2,Crystal Palace,Manchester City,0.743193
3,Crystal Palace,West Bromwich Albion,1.99083
4,Crystal Palace,West Ham,1.08391
5,Crystal Palace,Manchester United,0.939118
6,Crystal Palace,Sunderland,0.696183
7,Crystal Palace,Newcastle United,1.67836
8,Crystal Palace,Southampton,1.31177
9,Crystal Palace,Swansea,0.735185
10,Crystal Palace,Chelsea,0.546499
11,Crystal Palace,Tottenham,0.930792
12,Crystal Palace,Bournemouth,1.62395
13,Crystal Palace,Watford,0.983946
14,Crystal Palace,Liverpool,1.43901
15,Crystal Palace,Leicester,0.784339
16,Crystal Palace,Norwich,1.45029
17,Crystal Palace,Everton,1.59025
18,Crystal Palace,Stoke,1.31448
