,home_team,away_team,xG_home,xG_away
0,Manchester United,Tottenham,0.627539,0.6746
1,Manchester United,Newcastle United,1.2491,0.4384
2,Manchester United,Liverpool,1.46206,1.02572
3,Manchester United,Sunderland,2.8971,0.832139
4,Manchester United,Manchester City,0.391754,0.310718
5,Manchester United,West Bromwich Albion,1.2779,0.594031
6,Manchester United,West Ham,1.76061,1.10206
7,Manchester United,Norwich,1.01394,0.556897
8,Manchester United,Chelsea,1.35213,0.900029
9,Manchester United,Swansea,1.74266,0.542907
10,Manchester United,Southampton,0.187217,0.83591
11,Manchester United,Stoke,2.45272,0.350909
12,Manchester United,Arsenal,1.09522,1.5435
13,Manchester United,Watford,0.786278,2.16484
14,Manchester United,Everton,0.998692,0.755625
15,Manchester United,Aston Villa,1.09127,0.262427
16,Manchester United,Crystal Palace,1.46607,0.137416
17,Manchester United,Leicester,1.18462,1.16622
18,Manchester United,Bournemouth,1.72109,0.503471
