,home_team,away_team,xG_home,xG_away
0,Norwich,Crystal Palace,1.13076,2.10975
1,Norwich,Stoke,3.14888,0.698228
2,Norwich,Bournemouth,1.33151,0.389495
3,Norwich,Leicester,1.18074,3.00282
4,Norwich,West Bromwich Albion,1.03228,1.45436
5,Norwich,Swansea,1.19517,0.402284
6,Norwich,Arsenal,1.01025,1.65699
7,Norwich,Everton,1.49283,2.43558
8,Norwich,Aston Villa,1.10319,0.235874
9,Norwich,Southampton,1.50509,0.932294
10,Norwich,Liverpool,1.03432,1.44943
11,Norwich,Tottenham,0.929319,2.75469
12,Norwich,West Ham,1.03362,0.741428
13,Norwich,Chelsea,1.24159,0.980988
14,Norwich,Manchester City,0.139743,0.557373
15,Norwich,Newcastle United,1.65216,1.46835
16,Norwich,Sunderland,1.09006,1.99748
17,Norwich,Manchester United,1.36825,1.48344
18,Norwich,Watford,2.41871,1.7686
