,home_team,away_team,xG_home,xG_away
0,Watford,West Bromwich Albion,0.760848,0.684036
1,Watford,Southampton,1.17588,0.68359
2,Watford,Swansea,1.57333,0.503008
3,Watford,Crystal Palace,0.685939,2.33566
4,Watford,Arsenal,0.254791,2.69046
5,Watford,West Ham,1.61544,0.605625
6,Watford,Manchester United,1.47077,1.30264
7,Watford,Norwich,2.07199,0.310524
8,Watford,Liverpool,1.99336,0.376313
9,Watford,Tottenham,1.13011,0.527248
10,Watford,Manchester City,0.985368,0.692054
11,Watford,Newcastle United,2.58707,1.29267
12,Watford,Chelsea,0.531415,1.13694
13,Watford,Bournemouth,1.00481,0.955252
14,Watford,Leicester,0.829318,1.47042
15,Watford,Stoke,0.879462,1.58145
16,Watford,Everton,0.408379,1.59979
17,Watford,Aston Villa,1.36255,0.491793
18,Watford,Sunderland,1.95277,0.908817
