,home_team,away_team,xG
0,West Ham,Leicester,0.513491
1,West Ham,Bournemouth,1.50203
2,West Ham,Newcastle United,1.71282
3,West Ham,Norwich,2.60407
4,West Ham,Chelsea,0.77284
5,West Ham,Everton,0.589567
6,West Ham,West Bromwich Albion,1.41404
7,West Ham,Stoke,1.13181
8,West Ham,Southampton,1.79562
9,West Ham,Liverpool,2.06737
10,West Ham,Manchester City,1.01267
11,West Ham,Aston Villa,2.34619
12,West Ham,Sunderland,0.52387
13,West Ham,Tottenham,0.784319
14,West Ham,Crystal Palace,1.71369
15,West Ham,Arsenal,1.10973
16,West Ham,Watford,3.96294
17,West Ham,Swansea,2.39454
18,West Ham,Manchester United,2.13311
