,home_team,away_team,xG
0,Chelsea,West Ham,1.4603
1,Chelsea,Burnley,2.65838
2,Chelsea,Liverpool,1.16415
3,Chelsea,Leicester,3.11573
4,Chelsea,Manchester United,2.25192
5,Chelsea,Everton,1.94078
6,Chelsea,Tottenham,1.24948
7,Chelsea,West Bromwich Albion,0.551109
8,Chelsea,Bournemouth,1.71303
9,Chelsea,Stoke,1.94737
10,Chelsea,Hull,1.47165
11,Chelsea,Arsenal,1.95451
12,Chelsea,Swansea,1.22573
13,Chelsea,Crystal Palace,3.16805
14,Chelsea,Manchester City,1.36933
15,Chelsea,Southampton,1.4438
16,Chelsea,Middlesbrough,2.28046
17,Chelsea,Watford,2.65315
18,Chelsea,Sunderland,2.73947
