,home_team,away_team,xG_home,xG_away
0,Crystal Palace,West Bromwich Albion,0.990062,0.684593
1,Crystal Palace,Bournemouth,2.659,0.974014
2,Crystal Palace,Stoke,1.31366,1.20308
3,Crystal Palace,West Ham,1.94599,0.874219
4,Crystal Palace,Liverpool,0.496044,2.26056
5,Crystal Palace,Manchester City,0.431559,1.39421
6,Crystal Palace,Southampton,2.20073,0.764357
7,Crystal Palace,Manchester United,0.710324,1.27306
8,Crystal Palace,Chelsea,0.356331,0.81444
9,Crystal Palace,Swansea,0.331276,1.18905
10,Crystal Palace,Everton,0.463733,0.949561
11,Crystal Palace,Sunderland,2.45994,0.837361
12,Crystal Palace,Middlesbrough,0.808522,0.82885
13,Crystal Palace,Watford,0.376326,0.190648
14,Crystal Palace,Arsenal,2.15968,0.44226
15,Crystal Palace,Leicester,1.67894,0.467725
16,Crystal Palace,Tottenham,0.321722,1.00589
17,Crystal Palace,Burnley,0.633469,1.38569
18,Crystal Palace,Hull,2.73274,0.518148
