,home_team,away_team,xG_home,xG_away
0,Hull,Leicester,0.740018,2.45631
1,Hull,Manchester United,0.268815,2.47208
2,Hull,Arsenal,0.969693,3.63453
3,Hull,Chelsea,0.27266,1.99155
4,Hull,Stoke,0.701606,1.04273
5,Hull,Southampton,0.561215,2.03046
6,Hull,West Bromwich Albion,0.424457,1.40213
7,Hull,Crystal Palace,2.16649,1.50059
8,Hull,Manchester City,0.350069,2.22237
9,Hull,Everton,0.852585,1.27757
10,Hull,Bournemouth,1.18904,1.43455
11,Hull,Liverpool,1.88587,1.12538
12,Hull,Burnley,1.59037,0.473058
13,Hull,Swansea,1.98818,1.44148
14,Hull,West Ham,0.778704,1.24571
15,Hull,Middlesbrough,2.23261,1.30673
16,Hull,Watford,1.42309,1.15869
17,Hull,Sunderland,1.21734,1.95502
18,Hull,Tottenham,0.812723,3.89027
