,home_team,away_team,xG_home,xG_away
0,Middlesbrough,Stoke,1.80523,0.485626
1,Middlesbrough,Crystal Palace,0.611959,1.12437
2,Middlesbrough,Tottenham,0.361508,1.4158
3,Middlesbrough,Watford,0.528576,0.0893749
4,Middlesbrough,Bournemouth,1.44317,1.54599
5,Middlesbrough,Chelsea,0.55976,1.68738
6,Middlesbrough,Hull,1.94961,0.221339
7,Middlesbrough,Liverpool,0.161583,2.13526
8,Middlesbrough,Swansea,1.71549,0.602249
9,Middlesbrough,Leicester,0.697108,0.477078
10,Middlesbrough,West Ham,0.958825,2.6558
11,Middlesbrough,West Bromwich Albion,1.18135,1.25288
12,Middlesbrough,Everton,0.651056,0.831644
13,Middlesbrough,Manchester United,1.09037,2.47484
14,Middlesbrough,Burnley,0.684683,0.809899
15,Middlesbrough,Arsenal,1.72075,1.0689
16,Middlesbrough,Sunderland,0.825839,0.445766
17,Middlesbrough,Manchester City,1.17715,3.10725
18,Middlesbrough,Southampton,1.32885,1.52569
