,home_team,away_team,xG
0,Swansea,Hull,1.14134
1,Swansea,Chelsea,1.2304
2,Swansea,Manchester City,1.11096
3,Swansea,Liverpool,2.65842
4,Swansea,Watford,1.33215
5,Swansea,Manchester United,0.51266
6,Swansea,Crystal Palace,3.3955
7,Swansea,Sunderland,2.18185
8,Swansea,West Ham,0.954864
9,Swansea,Bournemouth,0.515218
10,Swansea,Arsenal,0.488485
11,Swansea,Southampton,0.760046
12,Swansea,Leicester,0.693376
13,Swansea,Burnley,1.44545
14,Swansea,Middlesbrough,0.64382
15,Swansea,Tottenham,0.872579
16,Swansea,Stoke,0.475636
17,Swansea,Everton,2.09244
18,Swansea,West Bromwich Albion,1.74555
