,home_team,away_team,xG_home,xG_away
0,Arsenal,Leicester,2.54329,1.46495
1,Arsenal,Bournemouth,2.48732,0.577291
2,Arsenal,West Bromwich Albion,2.39316,0.766652
3,Arsenal,Brighton,2.47818,0.386343
4,Arsenal,Swansea,2.37777,0.8355
5,Arsenal,Tottenham,2.24246,0.591192
6,Arsenal,Huddersfield,4.47889,0.475716
7,Arsenal,Manchester United,4.24057,2.06831
8,Arsenal,Newcastle United,2.02472,0.286547
9,Arsenal,Liverpool,1.13104,2.05947
10,Arsenal,Chelsea,1.23205,3.0768
11,Arsenal,Crystal Palace,3.56519,0.501202
12,Arsenal,Everton,3.19622,1.49065
13,Arsenal,Manchester City,1.30172,1.92605
14,Arsenal,Watford,2.38263,1.54676
15,Arsenal,Stoke,3.56649,0.342516
16,Arsenal,Southampton,1.58895,2.16699
17,Arsenal,West Ham,2.07299,0.623161
18,Arsenal,Burnley,2.92408,0.21671
