,home_team,away_team,xG
0,Burnley,West Bromwich Albion,1.37242
1,Burnley,Crystal Palace,0.429329
2,Burnley,Huddersfield,0.369454
3,Burnley,West Ham,0.70219
4,Burnley,Newcastle United,1.0271
5,Burnley,Swansea,1.5427
6,Burnley,Arsenal,0.402745
7,Burnley,Watford,0.485632
8,Burnley,Stoke,0.360081
9,Burnley,Tottenham,0.159735
10,Burnley,Liverpool,0.900466
11,Burnley,Manchester United,0.568215
12,Burnley,Manchester City,0.795971
13,Burnley,Southampton,1.28178
14,Burnley,Everton,2.33524
15,Burnley,Leicester,1.05951
16,Burnley,Chelsea,0.221642
17,Burnley,Brighton,1.54596
18,Burnley,Bournemouth,1.16179
