,home_team,away_team,xG
0,Liverpool,Crystal Palace,2.84978
1,Liverpool,Arsenal,3.45998
2,Liverpool,Burnley,2.18727
3,Liverpool,Manchester United,1.92702
4,Liverpool,Huddersfield,2.14257
5,Liverpool,Southampton,2.06277
6,Liverpool,Chelsea,1.50368
7,Liverpool,Everton,1.89569
8,Liverpool,West Bromwich Albion,2.13915
9,Liverpool,Swansea,3.06422
10,Liverpool,Leicester,2.56607
11,Liverpool,Manchester City,1.01595
12,Liverpool,Tottenham,1.28962
13,Liverpool,West Ham,3.9205
14,Liverpool,Newcastle United,1.56935
15,Liverpool,Watford,1.81208
16,Liverpool,Bournemouth,2.6402
17,Liverpool,Stoke,2.11658
18,Liverpool,Brighton,3.50981
