,home_team,away_team,xG
0,Manchester City,Everton,1.14216
1,Manchester City,Liverpool,3.14589
2,Manchester City,Crystal Palace,5.72543
3,Manchester City,Stoke,4.45388
4,Manchester City,Burnley,3.71812
5,Manchester City,Arsenal,2.15028
6,Manchester City,Southampton,1.64952
7,Manchester City,West Ham,2.45603
8,Manchester City,Tottenham,4.14588
9,Manchester City,Bournemouth,1.55724
10,Manchester City,Watford,2.77398
11,Manchester City,Newcastle United,2.5505
12,Manchester City,West Bromwich Albion,2.68955
13,Manchester City,Leicester,2.59121
14,Manchester City,Chelsea,0.953312
15,Manchester City,Manchester United,3.42967
16,Manchester City,Swansea,3.41675
17,Manchester City,Huddersfield,0.78641
18,Manchester City,Brighton,1.64765
