,home_team,away_team,xG
0,Manchester United,West Ham,2.63853
1,Manchester United,Leicester,2.73725
2,Manchester United,Everton,3.28722
3,Manchester United,Crystal Palace,3.47508
4,Manchester United,Tottenham,0.943496
5,Manchester United,Newcastle United,2.57424
6,Manchester United,Brighton,1.50148
7,Manchester United,Manchester City,1.43756
8,Manchester United,Bournemouth,1.24043
9,Manchester United,Burnley,1.80763
10,Manchester United,Southampton,1.87247
11,Manchester United,Stoke,1.9485
12,Manchester United,Huddersfield,1.63389
13,Manchester United,Chelsea,1.30036
14,Manchester United,Liverpool,0.845051
15,Manchester United,Swansea,2.14368
16,Manchester United,West Bromwich Albion,0.639748
17,Manchester United,Arsenal,1.54667
18,Manchester United,Watford,0.45805
