,home_team,away_team,xG
0,Tottenham,Chelsea,0.72428
1,Tottenham,Burnley,2.3497
2,Tottenham,Swansea,1.17894
3,Tottenham,Bournemouth,1.95684
4,Tottenham,Liverpool,2.62043
5,Tottenham,Crystal Palace,0.991813
6,Tottenham,West Bromwich Albion,1.91526
7,Tottenham,Stoke,4.01925
8,Tottenham,Brighton,1.87344
9,Tottenham,Southampton,3.08413
10,Tottenham,West Ham,1.64908
11,Tottenham,Everton,4.21366
12,Tottenham,Manchester United,2.0117
13,Tottenham,Arsenal,2.63564
14,Tottenham,Huddersfield,1.63794
15,Tottenham,Manchester City,0.445014
16,Tottenham,Watford,1.76757
17,Tottenham,Newcastle United,0.835241
18,Tottenham,Leicester,1.83248
