,home_team,away_team,xG
0,Brighton,Manchester United,1.63672
1,Brighton,Fulham,2.68216
2,Brighton,Tottenham,0.817174
3,Brighton,West Ham,1.02566
4,Brighton,Wolverhampton Wanderers,1.01337
5,Brighton,Leicester,0.862315
6,Brighton,Crystal Palace,1.2521
7,Brighton,Chelsea,0.26126
8,Brighton,Arsenal,1.38502
9,Brighton,Everton,1.60311
10,Brighton,Liverpool,0.384198
11,Brighton,Watford,1.83528
12,Brighton,Burnley,1.31614
13,Brighton,Huddersfield,1.39896
14,Brighton,Southampton,0.560521
15,Brighton,Bournemouth,0.206731
16,Brighton,Cardiff,0.588539
17,Brighton,Newcastle United,1.20482
18,Brighton,Manchester City,0.595313
