,home_team,away_team,xG_home,xG_away
0,Fulham,Crystal Palace,0.638076,1.07816
1,Fulham,Burnley,1.92459,1.56882
2,Fulham,Watford,1.77245,1.76133
3,Fulham,Arsenal,1.31588,1.13706
4,Fulham,Bournemouth,0.383833,2.10555
5,Fulham,Southampton,1.3875,1.67163
6,Fulham,Leicester,1.47593,1.21575
7,Fulham,West Ham,1.03424,0.75325
8,Fulham,Wolverhampton Wanderers,1.2769,1.35896
9,Fulham,Huddersfield,1.72386,0.276791
10,Fulham,Tottenham,0.937902,1.93316
11,Fulham,Brighton,3.46113,2.36867
12,Fulham,Manchester United,2.18741,2.13209
13,Fulham,Chelsea,0.898469,1.53632
14,Fulham,Liverpool,0.915765,2.73437
15,Fulham,Manchester City,0.661491,2.31513
16,Fulham,Everton,1.66303,1.29107
17,Fulham,Cardiff,0.519072,1.11322
18,Fulham,Newcastle United,0.569845,1.95921
