,home_team,away_team,xG
0,Watford,Brighton,1.42372
1,Watford,Crystal Palace,1.14596
2,Watford,Tottenham,0.454309
3,Watford,Manchester United,1.17523
4,Watford,Bournemouth,1.06613
5,Watford,Huddersfield,2.29622
6,Watford,Liverpool,0.673382
7,Watford,Manchester City,1.672
8,Watford,Cardiff,1.64998
9,Watford,Chelsea,1.24414
10,Watford,Newcastle United,1.05566
11,Watford,Burnley,1.06981
12,Watford,Everton,1.53311
13,Watford,Leicester,1.36515
14,Watford,Fulham,1.59338
15,Watford,Arsenal,1.12595
16,Watford,Southampton,1.27253
17,Watford,Wolverhampton Wanderers,0.896093
18,Watford,West Ham,2.06986
