,home_team,away_team,xG
0,Arsenal,Burnley,1.1644
1,Arsenal,Tottenham,1.92509
2,Arsenal,Aston Villa,2.53209
3,Arsenal,Bournemouth,1.24109
4,Arsenal,Crystal Palace,1.54014
5,Arsenal,Wolverhampton Wanderers,1.02552
6,Arsenal,Southampton,1.60823
7,Arsenal,Brighton,0.965377
8,Arsenal,Manchester City,0.28161
9,Arsenal,Chelsea,0.785214
10,Arsenal,Manchester United,1.90747
11,Arsenal,Sheffield United,1.22882
12,Arsenal,Newcastle United,3.02257
13,Arsenal,Everton,1.33567
14,Arsenal,West Ham,1.55974
15,Arsenal,Norwich,1.76496
16,Arsenal,Leicester,1.29023
17,Arsenal,Liverpool,1.31516
