,home_team,away_team,xG_home,xG_away
0,Burnley,Southampton,0.909241,1.08752
1,Burnley,Liverpool,0.61739,1.20057
2,Burnley,Norwich,2.39312,0.801428
3,Burnley,Everton,0.558912,1.30723
4,Burnley,Chelsea,2.23494,0.988321
5,Burnley,West Ham,2.4158,0.474281
6,Burnley,Crystal Palace,1.8509,0.936732
7,Burnley,Manchester City,0.486548,2.56057
8,Burnley,Newcastle United,1.43602,1.08726
9,Burnley,Manchester United,0.386662,2.10542
10,Burnley,Aston Villa,2.34418,1.74824
11,Burnley,Leicester,1.50886,2.33415
12,Burnley,Arsenal,2.24562,1.48025
13,Burnley,Bournemouth,3.09935,1.75718
14,Burnley,Tottenham,3.33302,1.13669
15,Burnley,Watford,0.964774,0.495542
16,Burnley,Sheffield United,1.31966,1.63343
17,Burnley,Wolverhampton Wanderers,1.53435,1.2857
18,Burnley,Brighton,1.44244,1.3696
