,home_team,away_team,xG
0,Newcastle United,Arsenal,0.380551
1,Newcastle United,Watford,1.04131
2,Newcastle United,Brighton,1.09807
3,Newcastle United,Manchester United,0.650296
4,Newcastle United,Wolverhampton Wanderers,0.603104
5,Newcastle United,Bournemouth,2.3306
6,Newcastle United,Manchester City,0.208252
7,Newcastle United,Southampton,1.10449
8,Newcastle United,Crystal Palace,0.714368
9,Newcastle United,Everton,1.63211
10,Newcastle United,Leicester,0.780118
11,Newcastle United,Chelsea,0.892988
12,Newcastle United,Norwich,0.937293
13,Newcastle United,Burnley,1.11713
14,Newcastle United,Sheffield United,2.15148
15,Newcastle United,Aston Villa,0.661808
16,Newcastle United,West Ham,1.49121
17,Newcastle United,Tottenham,1.05748
