,home_team,away_team,xG_home,xG_away
0,West Ham,Manchester City,1.2003,3.18377
1,West Ham,Norwich,2.20657,1.1674
2,West Ham,Manchester United,0.51376,1.27826
3,West Ham,Crystal Palace,1.23577,2.0682
4,West Ham,Sheffield United,2.33891,1.16171
5,West Ham,Newcastle United,1.53597,1.93192
6,West Ham,Tottenham,0.661449,2.20681
7,West Ham,Arsenal,0.521847,1.79181
8,West Ham,Leicester,0.782104,2.62349
9,West Ham,Bournemouth,2.32825,0.720709
10,West Ham,Everton,1.68436,1.95473
11,West Ham,Liverpool,0.878341,2.59926
12,West Ham,Brighton,1.30774,2.03179
13,West Ham,Southampton,2.78682,0.868573
14,West Ham,Wolverhampton Wanderers,0.44207,1.06433
15,West Ham,Chelsea,2.10497,1.57609
16,West Ham,Burnley,1.99821,1.05291
17,West Ham,Watford,0.833995,1.03402
18,West Ham,Aston Villa,0.781465,0.983594
