,home_team,away_team,xG
0,Wolverhampton Wanderers,Manchester United,0.307356
1,Wolverhampton Wanderers,Burnley,1.32793
2,Wolverhampton Wanderers,Chelsea,1.49359
3,Wolverhampton Wanderers,Watford,1.16363
4,Wolverhampton Wanderers,Southampton,0.887495
5,Wolverhampton Wanderers,Aston Villa,2.09891
6,Wolverhampton Wanderers,Sheffield United,1.27422
7,Wolverhampton Wanderers,West Ham,1.82237
8,Wolverhampton Wanderers,Tottenham,0.718669
9,Wolverhampton Wanderers,Manchester City,2.39405
10,Wolverhampton Wanderers,Newcastle United,2.04805
11,Wolverhampton Wanderers,Liverpool,1.85442
12,Wolverhampton Wanderers,Leicester,1.14491
13,Wolverhampton Wanderers,Norwich,3.25033
14,Wolverhampton Wanderers,Brighton,0.898221
15,Wolverhampton Wanderers,Bournemouth,0.715002
16,Wolverhampton Wanderers,Arsenal,0.985166
17,Wolverhampton Wanderers,Everton,2.86724
